Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Train_Kappa,Val_Kappa
1,0.5825,0.47,1.0760261857509612,1.926446113884449,0.698388909704009,0.6952393173360708
2,0.6075,0.6275,0.9459668123722076,0.964994004368782,0.7829844440176685,0.6952393173360708
3,0.6583333333333333,0.525,0.8444409024715424,1.6300747956335544,0.8150085600152178,0.6952393173360708
4,0.655,0.565,0.8325209611654282,1.0735112571716308,0.8192938559911037,0.6952393173360708
5,0.6916666666666667,0.56,0.7683403605222702,1.0798835825920106,0.8484295105916728,0.6952393173360708
6,0.705,0.55,0.7525681966543197,1.0695547705888748,0.8558748169838946,0.6952393173360708
7,0.7,0.4975,0.733356602191925,1.5575649550557136,0.8619034682604365,0.6952393173360708
8,0.7333333333333333,0.485,0.6957909268140793,1.2698646068572998,0.8700298885970473,0.6952393173360708
9,0.7383333333333333,0.48,0.7123682117462158,1.369858745187521,0.8656022183460799,0.6952393173360708
10,0.7333333333333333,0.53,0.7163965725898742,1.1816816008090973,0.8539019963702359,0.6952393173360708
11,0.755,0.5125,0.6283850479125976,1.150082072019577,0.889793305286263,0.6952393173360708
12,0.7791666666666667,0.53,0.5958350539207459,1.1338973832130432,0.8937699321744599,0.6952393173360708
13,0.8016666666666666,0.5375,0.5341132560372353,1.221936002969742,0.9093047451033609,0.6952393173360708
14,0.8041666666666667,0.5375,0.5364860790967941,1.1831203722953796,0.9012979989183343,0.6952393173360708
15,0.8125,0.5475,0.49929112792015073,1.2767945230007172,0.9133309506790565,0.6952393173360708
16,0.8266666666666667,0.5475,0.4704523441195488,1.2809444457292556,0.9194876486733761,0.6952393173360708
17,0.8233333333333334,0.545,0.45763371914625167,1.3500851023197173,0.9149235446254367,0.6952393173360708
18,0.8116666666666666,0.535,0.49142200022935867,1.4922174775600434,0.9109564274091485,0.6952393173360708
19,0.8275,0.5325,0.4618332493305206,1.3472578600049019,0.9241016810911233,0.6952393173360708
20,0.835,0.5375,0.4402884787321091,1.3771753326058387,0.9286329240110562,0.6952393173360708
