Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Train_Kappa,Val_Kappa
1,0.5241666666666667,0.5575,1.1667407751083374,1.2482323771715165,0.6025181509052476,0.8252043980828869
2,0.6158333333333333,0.495,0.9604544413089752,1.749337092190981,0.7849410863109493,0.8252043980828869
3,0.6233333333333333,0.5625,0.9415080183744431,1.0314733219146728,0.7752862144006055,0.8252043980828869
4,0.6108333333333333,0.5725,0.9535857564210892,1.0474830704927445,0.7708394410241376,0.8252043980828869
5,0.6466666666666666,0.495,0.8733185195922851,1.2557239344716071,0.8057973787429447,0.8252043980828869
6,0.6616666666666666,0.5725,0.8885754406452179,1.051197376549244,0.802388004442799,0.8252043980828869
7,0.6616666666666666,0.5825,0.8703410053253173,1.1534385961294173,0.811216502440372,0.8252043980828869
8,0.6333333333333333,0.57,0.8984790873527527,1.196791751384735,0.803485439119468,0.8252043980828869
9,0.65,0.5575,0.8928247809410095,1.0191121900081634,0.7918329030743957,0.8252043980828869
10,0.6608333333333334,0.56,0.8458072882890701,1.1239147233963012,0.8186189831458051,0.8252043980828869
11,0.6991666666666667,0.625,0.7764920729398728,0.9781416636705399,0.8406608287442447,0.8252043980828869
12,0.71,0.62,0.7355353975296021,0.9468393707275391,0.8445020362828582,0.8252043980828869
13,0.7191666666666666,0.6275,0.7199821680784225,0.9492164450883865,0.8578331165210927,0.8252043980828869
14,0.7258333333333333,0.6375,0.7137511992454528,0.9803341829776764,0.865500853596641,0.8252043980828869
15,0.74,0.62,0.6797007346153259,0.9937451326847077,0.8711015803459046,0.8252043980828869
16,0.7316666666666667,0.62,0.6993901705741883,1.0116644275188447,0.8667260036539092,0.8252043980828869
17,0.7158333333333333,0.63,0.6993770217895507,0.9643450927734375,0.8547425728633782,0.8252043980828869
18,0.73,0.63,0.683318504691124,0.9818896663188934,0.8631950573698146,0.8252043980828869
19,0.725,0.6325,0.7054355162382125,0.9561431896686554,0.867871391692091,0.8252043980828869
20,0.7416666666666667,0.6275,0.6853541857004166,0.9929370611906052,0.8622837370242215,0.8252043980828869
