Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Train_Kappa,Val_Kappa
1,0.48944444444444446,0.6,1.1685197973251342,1.1450265440344811,0.6764333004648542,0.7956730769230769
2,0.5972222222222222,0.63,1.019274344444275,0.9348289340734481,0.772406445598615,0.7956730769230769
3,0.6227777777777778,0.6275,0.9691815384229024,0.9168942564725876,0.8008669737198592,0.7956730769230769
4,0.6316666666666667,0.5625,0.9110907240708669,1.2195088117569686,0.8096017457719585,0.7956730769230769
5,0.635,0.595,0.9316049520174662,1.0777813005447388,0.8012330786757808,0.7956730769230769
6,0.635,0.6325,0.8818197961648305,0.9748602545261383,0.7880382112695556,0.7956730769230769
7,0.6561111111111111,0.6175,0.8708651200930277,0.9463701850175857,0.8142915364760224,0.7956730769230769
8,0.675,0.6525,0.8353044362862905,0.9416764944791793,0.8302669802185642,0.7956730769230769
9,0.6805555555555556,0.645,0.7935861619313558,0.9199470412731171,0.8454258675078864,0.7956730769230769
10,0.6855555555555556,0.6225,0.7731212218602498,1.0256505489349366,0.8311473146486262,0.7956730769230769
11,0.7433333333333333,0.66,0.6956931428114573,0.8943128424882889,0.8711443450393911,0.7956730769230769
12,0.7711111111111111,0.6625,0.6184244362513224,0.8854523950815201,0.9003408316291752,0.7956730769230769
13,0.7727777777777778,0.665,0.5945848711331685,0.9002642154693603,0.8939991835623895,0.7956730769230769
14,0.7844444444444445,0.6725,0.5999341674645742,0.9174832758307457,0.8945434753027622,0.7956730769230769
15,0.7855555555555556,0.6775,0.5792811751365662,0.9061068624258042,0.8942399781091804,0.7956730769230769
16,0.7866666666666666,0.67,0.5692613410949707,0.9011851942539215,0.89792008757526,0.7956730769230769
17,0.8027777777777778,0.6775,0.5315781726439794,0.9123192396759987,0.906155950752394,0.7956730769230769
18,0.7955555555555556,0.67,0.5300450164079666,1.0136572179198264,0.8996222342147868,0.7956730769230769
19,0.8122222222222222,0.66,0.5217221655448278,0.9985059505701065,0.9110349554489376,0.7956730769230769
20,0.8061111111111111,0.645,0.518156539996465,1.043741107583046,0.9138710119129125,0.7956730769230769
