Epoch,Train_Loss,Train_Accuracy,Train_Kappa,Val_Loss,Val_Accuracy,Val_Kappa
1,1.1160168464978535,0.53,0.7133517384686232,,0.6175,0.7477882973769983
2,0.9439765612284342,0.6311111111111111,0.7923768895315174,,0.6675,0.8204842749791261
3,0.880607320467631,0.6461111111111111,0.8066454240791265,,0.6275,0.7819991588391981
4,0.826813657283783,0.6766666666666666,0.8205418806934814,,0.6775,0.8064886958743134
5,0.7890069977442423,0.6972222222222222,0.8254719812228142,,0.6125,0.7114568599717115
6,0.7562454958756765,0.7022222222222222,0.8353114546985372,,0.665,0.746901597730327
7,0.7242052884896596,0.7144444444444444,0.8473746307040086,,0.61,0.7396744248621014
8,0.5303660507996877,0.8044444444444444,0.9020123460844754,,0.69,0.8267394270122783
9,0.4998826569318771,0.8144444444444444,0.9102364372243511,,0.685,0.834097653088751
10,0.4142807759841283,0.8511111111111112,0.9282468198793944,,0.685,0.8409703504043127
11,0.40117437809705736,0.8544444444444445,0.9331189555618795,,0.6875,0.8243717914077276
12,0.3789046873152256,0.8622222222222222,0.9337368127437607,,0.69,0.833844921927132
13,0.3539383041858673,0.8794444444444445,0.9448827837449102,,0.6875,0.8224043715846995
14,0.36101361354192096,0.8627777777777778,0.9414491749423013,,0.6975,0.8252889191026512
15,0.3440278043349584,0.8805555555555555,0.9436191941001051,,0.7,0.8513927762228441
16,0.3217037773132324,0.8877777777777778,0.9471071273727362,,0.705,0.8420911167853783
17,0.3063500236471494,0.8872222222222222,0.9506413143353518,,0.69,0.8388843758461955
18,0.3050712783137957,0.8933333333333333,0.9518581995059107,,0.7025,0.8407557354925776
19,0.31889545728762947,0.8783333333333333,0.9459077519122997,,0.6975,0.839622641509434
20,0.3307015147805214,0.8838888888888888,0.9465058291774482,,0.7,0.8387530233808116
