Epoch,Train_Loss,Train_Accuracy,Train_Kappa,Val_Loss,Val_Accuracy,Val_Kappa
1,0.9324958721796671,0.6288888888888889,0.803407168097455,,0.6175,0.7477882973769983
2,0.6832975216706594,0.7516666666666667,0.8825650684701956,,0.6675,0.8204842749791261
3,0.5641903346776962,0.7972222222222223,0.904106483148615,,0.6275,0.7819991588391981
4,0.5097045588493347,0.8266666666666667,0.906320789381946,,0.6775,0.8064886958743134
5,0.4462868899106979,0.8472222222222222,0.9238759324863806,,0.6125,0.7114568599717115
6,0.4176990495125453,0.8683333333333333,0.9230290171169446,,0.665,0.746901597730327
7,0.3426798955599467,0.875,0.9324347921866143,,0.61,0.7396744248621014
8,0.23466891460120679,0.9244444444444444,0.9601092600605798,,0.69,0.8267394270122783
9,0.15619356465836365,0.9455555555555556,0.9736445884906594,,0.685,0.834097653088751
10,0.15444482639431953,0.9466666666666667,0.9727903252094943,,0.685,0.8409703504043127
11,0.14127270843833684,0.9538888888888889,0.9777950632369684,,0.6875,0.8243717914077276
12,0.1033665804254512,0.9644444444444444,0.981213525180634,,0.69,0.833844921927132
13,0.12480445191264153,0.9522222222222222,0.9727610455982794,,0.6875,0.8224043715846995
14,0.10325771417468786,0.9677777777777777,0.9825744435979317,,0.6975,0.8252889191026512
15,0.08557507890587052,0.9722222222222222,0.9862234954233642,,0.7,0.8513927762228441
16,0.0927556910738349,0.9694444444444444,0.9846480980474804,,0.705,0.8420911167853783
17,0.09746518043801189,0.9683333333333334,0.9848893074310878,,0.69,0.8388843758461955
18,0.0810383123283585,0.9783333333333334,0.9882573027429321,,0.7025,0.8407557354925776
19,0.07731450483823817,0.9755555555555555,0.9878146032502515,,0.6975,0.839622641509434
20,0.08150926028067867,0.9727777777777777,0.9913418156483154,,0.7,0.8387530233808116
