Epoch,Train_Loss,Train_Accuracy,Train_Kappa,Val_Loss,Val_Accuracy,Val_Kappa
1,1.1265816513697307,0.5116666666666667,0.7147468900453622,,0.6175,0.7477882973769983
2,0.9884280792872111,0.6038888888888889,0.7886478120835848,,0.6675,0.8204842749791261
3,0.9561476643880208,0.6172222222222222,0.783255108661135,,0.6275,0.7819991588391981
4,0.8999433390299479,0.6494444444444445,0.8045582060323544,,0.6775,0.8064886958743134
5,0.8650694227218628,0.6622222222222223,0.817372502980332,,0.6125,0.7114568599717115
6,0.8519834343592326,0.6566666666666666,0.831236826001224,,0.665,0.746901597730327
7,0.7964776436487834,0.6794444444444444,0.8464568000943764,,0.61,0.7396744248621014
8,0.7453653478622436,0.7161111111111111,0.8518621155898793,,0.69,0.8267394270122783
9,0.6587819107373556,0.7611111111111111,0.881035881778548,,0.685,0.834097653088751
10,0.6551162628332774,0.7511111111111111,0.8767794758839831,,0.685,0.8409703504043127
11,0.6046833646297455,0.7788888888888889,0.8972854664838209,,0.6875,0.8243717914077276
12,0.6065748325983683,0.7772222222222223,0.8952485466302682,,0.69,0.833844921927132
13,0.5813802194595337,0.7727777777777778,0.8886284958277698,,0.6875,0.8224043715846995
14,0.5702355364958446,0.7872222222222223,0.8990676732002075,,0.6975,0.8252889191026512
15,0.5256262101729711,0.805,0.9056595073637227,,0.7,0.8513927762228441
16,0.533729048371315,0.7961111111111111,0.9028449280281832,,0.705,0.8420911167853783
17,0.522779599626859,0.7927777777777778,0.8950389503895039,,0.69,0.8388843758461955
18,0.5135414769252141,0.815,0.9082119024921694,,0.7025,0.8407557354925776
19,0.5269587826728821,0.815,0.9098289765390893,,0.6975,0.839622641509434
20,0.5145884414513906,0.815,0.9186121061240603,,0.7,0.8387530233808116
