Epoch,Train_Loss,Train_Accuracy,Train_Kappa,Val_Loss,Val_Accuracy,Val_Kappa
1,1.0273915040493011,0.6,0.6779918071234248,,0.625,0.7481912327989786
2,0.8103495651483535,0.6883333333333334,0.8122050959421202,,0.575,0.6513581629795575
3,0.6386738172173501,0.7683333333333333,0.8735456977539974,,0.625,0.7570080292999014
4,0.6145373392105102,0.7908333333333334,0.8757404884848101,,0.6175,0.7137298499166204
5,0.5894070053100586,0.7858333333333334,0.8723809818993306,,0.6425,0.7504933746828306
6,0.4898561498522758,0.8383333333333334,0.9004994537224911,,0.6475,0.778485491861288
7,0.46302016139030455,0.8475,0.9078664813996085,,0.6325,0.6689160691691269
8,0.3902328506112099,0.8641666666666666,0.9292452830188679,,0.67,0.7638307092301025
9,0.3357386091351509,0.87,0.933930026960938,,0.685,0.7873900293255132
10,0.2880354705452919,0.905,0.9554833897883713,,0.69,0.8198794294956624
11,0.24698859602212905,0.9216666666666666,0.9613450074515648,,0.67,0.7855664004732328
12,0.2190733852237463,0.9283333333333333,0.9601757545646503,,0.685,0.8128577719066491
13,0.22928561143577098,0.9166666666666666,0.9602633617350891,,0.695,0.8194732169280853
14,0.2276911910623312,0.9233333333333333,0.957537485223667,,0.6875,0.8085485307212823
15,0.1786252211779356,0.9408333333333333,0.9780284850562533,,0.68,0.8158598158598158
16,0.17286135092377664,0.9458333333333333,0.971973966929281,,0.6825,0.8080330773774365
17,0.2626460751146078,0.9183333333333333,0.9543840691571472,,0.675,0.8084855627578079
18,0.1839678420871496,0.9383333333333334,0.9666316504974356,,0.68,0.8011237616442407
19,0.1926593943312764,0.9333333333333333,0.9628886191765474,,0.6875,0.8089454976303317
20,0.1712121631205082,0.945,0.9706163622902271,,0.675,0.8157429245283019
